transaction_date,total_transaction_count,total_value_per_day,total_gas_per_day,avg_gas_price_per_day,total_gas_used_per_day,total_transaction_fee,total_priority_fee
2021-08-06,1858295,3312347353164417671705045,887022572620,52813740975.201241,579251972329,6500213118916129,2961930059272606
2021-08-07,1886867,2808762260002176209705801,907358883071,53857350461.947617,580503022905,8512080669807517,3816702284968580
2021-08-08,1899245,3181154601326009802263455,1098504313799,50351055055.077087,750625791181,7786035039939195,3246097104368952
2021-08-09,1881198,4280554792678282942927675,1102972611248,62682182657.414459,717371621363,10632085612066117,4682654101276431
2021-08-10,1819503,2336958902746290094003261,923006758688,65723738220.511208,583227338766,13007268703991469,4779586756472805
2021-08-11,1905648,2119524304891637361661999,1016056044087,68029918707.357155,669830223532,17304141787520505,6190039359204112
2021-08-12,1904920,2651268474499284442814476,1640093427169,63208180221.3203,1096885411263,18002994786233150,6740320903809715
2021-08-13,1841048,2286954781744722858867652,1058696985945,61837941775.784004,664864378739,23021689412333917,7177655790814445
2021-08-14,1839659,2886762534015109212214558,1049739093653,54902802369.647423,692242484501,22867922005843431,7166625877786322
2021-08-15,1766129,2791203623269554460548342,976444377138,58159420259.420876,664591837787,24446598398667621,7155639016159438
2021-08-16,1860863,4046090413872637851248371,932905440586,60384906635.521774,612005486325,29242241491866126,7673286794827191
2021-08-17,1976484,5656777563726457583055148,1031808700300,58670088936.379868,633676506378,31941640648314474,10177845536307080
2021-08-18,1945743,3709921636876649108441977,943880651140,53405362614.040588,587281062295,33620376265887898,12365064206395257
2021-08-19,2006034,4354364340187588159443573,1026335764846,53094747686.209816,671835601855,66825387640034519,23890165525892340
2021-08-20,2022254,3733772944103767757521134,1228509669686,47331157776.909592,817079377497,64088669187732691,17767161322607299
2021-08-21,1938725,1502721593140319802012717,949289626895,40998802063.106606,613175549892,56748452279468721,14597800228241265
2021-08-22,1972121,1487090350813048385577952,959725504983,42292658563.835472,629388140683,61603384755359078,16894078621636338
2021-08-23,1909115,2323430361776522723503144,857188586167,68064698201.741486,546363860184,93146432465014678,20242831504462300
2021-08-24,1838534,2582260835364548719044944,857103351866,87829970689.835815,530794585494,118316778116308251,25473685977181188
2021-08-25,1741369,1851873642088313828316336,831162697603,101425356403.01099,538123074401,133643756206164743,24609387112986741
2021-08-26,1798274,1781044716488864395978845,1045603368951,100207951403.4521,680793913709,141572535782949508,31860734241090836
2021-08-27,1637925,2169111321683735530413932,1012885058089,119506043030.49361,690022712598,155760647217990184,27466209455890320
2021-08-28,1671105,1530068807602298758374112,953067826076,90349091527.473175,665465808357,120035251007759407,26763504503574639
2021-08-29,1692432,1875772602647153156981685,868629865197,95080615613.617142,599211783046,121399810617335736,29892187422446263
2021-08-30,1703404,1946980114336269224670614,749139514638,115703536514.4415,477773355937,150065620193879906,31935812136843418
2021-08-31,1682691,1969772523660711969803438,862802124230,126588237537.06548,558716937083,163215348637610265,31664909743561116
2021-09-01,1671107,2034650345038231776783276,845485394441,138134226249.22473,507873295864,183236630715556689,33046421151857683
2021-09-02,1692965,2648949904218638783027767,1026584891296,115400634228.53636,680939829390,164616324528547866,29616323600742658
2021-09-03,1537530,2516016388226584228197067,835006468154,153195252448.18207,548314458237,193491394407352532,31864031106059815
2021-09-04,1526453,1453262791138501773238457,750811479825,123181748320.71242,508679440326,157852453569780716,29060706635971110
2021-09-05,1672502,1204427683588844071769606,1136391967300,117536511643.64828,823756695176,166849395502341737,29152620315610681
2021-09-06,1672759,1730875500345622063402833,859386108709,122453815459.47821,560688996965,173282730456401333,29224280562829293
2021-09-07,1763630,3711023650441738488542332,856963304410,193192102786.71054,517689461549,260988653509301897,68665578824724408
2021-09-08,1778083,2794149225458051939001903,942907137362,164165803683.43936,601709488542,254543376200558395,42408087433895435
2021-09-09,1742106,1435755505806910895701042,990773698217,151026463994.66196,637074990281,227185144910917817,45865700956219651
2021-09-10,1808527,2510143488358747942763724,1097744671236,109233781584.6559,745763390267,174530640688455960,35534037969583105
2021-09-11,1850315,2265895720163519220006137,992187138913,71988846953.330856,681556100239,125839548004650746,20810578043397795
2021-09-12,1855002,1623866784168145353932041,939159729670,65246758346.902542,652562430761,114892061530225620,16028861341344940
2021-09-13,1744929,2117100306725157190385153,903605963739,83662328900.658737,604324968283,128425300933065323,20596239829137966
2021-09-14,1864326,1231988645599273789349356,1177701256368,76681682144.387527,828378817043,129903110920499313,24772071940832022
2021-09-15,1841061,1751423648634410779408546,1471803407623,76278793659.98,1044042793630,130805098767088590,22468433584151215
2021-09-16,1921175,2140837393855072618662594,1224661106670,87100320902.605667,856144840214,143403745514966550,24593912482792432
2021-09-17,1875365,1366573440550795633408470,1777941858578,77812298864.7078,985362402798,131183604776184260,18553255103687287
2021-09-18,1794352,965113246057438881431156,914500261465,57854808235.974,627355707206,103430015310801892,14725279242919015
2021-09-19,1827958,1157600218830791711606021,1108885772322,62954345292.793869,804176829433,108967387278225916,21271374964539677
2021-09-20,1823895,3336127632335227854542024,1059178603545,93204454518.166245,651009790907,154440637076548212,24279410472513104
2021-09-21,1798601,3315563893922627800514242,1049899777827,105674723583.94455,704733965443,171510150537232250,25633124060868859
2021-09-22,1889959,1817528781005399984630363,911432684864,74193160565.507339,589424628778,132255391691653399,22566074254023463
2021-09-23,1762789,1783308329716972709212354,1158204818088,95411537581.576721,802196864220,148362724658550057,35276592833637008
2021-09-24,1787277,2819825862277790395270758,921742706641,79091872542.306229,594559163890,133441467451100027,21281277519632787
2021-09-25,1848742,1322577501464307860754573,1191918317465,50374527298.314255,832225700079,94555968959623727,14498910522257406
2021-09-26,1792543,1896056229768295960867502,1164038144262,73429082541.461212,789517402563,128573426084354247,23462260428543827
2021-09-27,1701486,1507882003779617176974532,799617850497,181738103300.01871,532670302269,487705684370151426,179987002462887977
2021-09-28,1670661,1570824249772475917540031,833651362126,93653910693.154633,544660602544,146047779280940515,20489271593548760
2021-09-29,1785604,1641097573813496541097280,882690896033,84074189287.502274,590712584614,147450579298888677,21168735526508067
2021-09-30,1693052,2143222587359525490502246,1106104248025,106040331455.65974,785208220124,174503244741859783,23363094724513151
2021-10-01,1765185,1831839033421913166203737,864180613550,91742876805.381577,585024522409,158492353930798538,19178399762329024
2021-10-02,1784522,1240796744220779186710147,992203438096,68420245430.141808,693124319781,121170531187515633,18393255592125976
2021-10-03,1758594,1338331514061822656712773,896328572673,64838115648.702866,609282127303,115226921660479755,15683180166774364
2021-10-04,1724611,1489480251718301191151697,865045278264,102489500838.32091,578843612344,171218330070755577,19962918473068993
2021-10-05,1768577,1527614389419439229080781,946246801469,131533930966.61046,642524564447,210441756932934313,30531550243811597
2021-10-06,1687340,1637675683472906344917185,759638030587,144565262979.03693,511956144794,217374566976169796,25179147103286973
2021-10-07,1817786,1800241962860418386314537,995835557536,151847451926.79578,654976870779,235051285816887477,38624828404240815
2021-10-08,1735300,1932903970706404078314342,958733701699,125700996245.03551,639257934636,200744891502441894,25253554060473122
2021-10-09,1822572,1190534105889734465709957,1007846493113,83170205746.310562,742525728483,146302118139217068,17596316140609780
2021-10-10,1794122,1357765033537780292271964,959064712972,83062824284.756561,684535748879,142811195511031631,19954562986045793
2021-10-11,1834918,1554860035201026287750394,846612163415,112373120276.10466,554851552812,194189465813478527,24628212054074203
2021-10-12,1902413,1675810011766948165679212,912247161441,94742657532.56012,616221566295,171558555374362323,23410408798527045
2021-10-13,1852540,1994444463137653810395956,924603131471,104283394291.31911,609869352143,185181137818443187,24786302089160712
2021-10-14,1850744,3158340260635940597633932,1024712248989,136765692872.33699,677926608459,239934288221858417,31853853492602889
2021-10-15,1862398,4895852988867178535772565,941234344347,145947572986.66928,645687410319,245256321368302114,43324246314304326
2021-10-16,1847011,1722453208679842320641544,1102021483100,89266061741.259521,779906082034,159688472173110931,19438836703935465
2021-10-17,1865527,1178376450975839568268323,974293597078,79691920393.572968,667158437864,145997040151427341,19615047082130724
2021-10-18,1845547,1615202390177778615375448,958274305727,108729747960.71643,666098600340,180626633916473834,32732904292893287
2021-10-19,1936357,1833294062687544442025999,896280695700,79459871741.193176,590575739532,148548188759934007,21560476542371892
2021-10-20,1956774,4331826359164522612118688,1013955782686,85293307283.469116,664042010180,159111613657102832,20703871706451706
2021-10-21,1904686,4749974767672498272675699,1131487025383,97350309086.1753,778809591071,176793130750936299,26519139425351444
2021-10-22,1934229,1749934299621300787328383,962063666346,89124434481.67897,631592166522,163080726978159191,19529383440681562
2021-10-23,1959772,995697168874204283803727,976400761986,69621688698.171509,685996820226,130606924646268500,17409672243989680
2021-10-24,2018360,1592783995176867612865369,908844111249,79004013928.5706,622480418857,146636300825364836,20065409782099819
2021-10-25,2050539,1615486274287337705440651,958005525596,102533250450.85733,616142341900,193647282976427614,23281762941798097
2021-10-26,2062519,1835610474932620449086815,904177859044,128951463656.64764,600080200945,230366965913635984,27656495977780952
2021-10-27,2060563,3335906128966509157303811,975267901654,178160751135.16412,605746801439,298326107789877887,40586982448889702
2021-10-28,2068257,1735339180257968600481146,1015910648276,197601172116.34885,658587938796,340597764495829289,44142713866467181
2021-10-29,2097279,2714348945796223638033900,867589402046,183816494417.53265,549182123573,320974671682223833,38678940333829596
2021-10-30,2150079,2708450638885772021615853,917678258316,171433134973.11377,598553606015,302412449486229679,40899233680810432
2021-10-31,2080107,1802507121347683080922349,974994261744,157117310366.08844,658252600543,275057772481275233,34065581800080952
2021-11-01,2037109,1629800931726437289293969,960018445266,164268131473.4704,615851704424,288863964631906897,32042270628754679
2021-11-02,2062366,1760467460435453814495379,851047002813,183874955956.0235,530682409423,318897192379252102,39388573170014694
2021-11-03,2125378,1761535553849934930797071,831879997039,170368663906.63632,525687207739,303858226571173460,37154597454266659
2021-11-04,2093044,1437560942219562536132445,1359724978883,152352600248.58774,952651645424,265137573400816738,36214758411431951
2021-11-05,2028319,3135100560873889956790522,906370305236,140895802842.40149,605683947594,251037256742764397,33145412882439783
2021-11-06,2009001,1201538840528660561910134,951461728605,116977331945.64923,655396564219,208652845109163200,29370060691241897
